"date","weighted","close","high","low","open","volume"
"2017-08-12 01:08:00","0.675341","0.72","0.73","0.6128","0.6547","9837488.27"
"2017-08-13 01:08:00","0.778595","0.8043","0.83","0.69","0.72","21581927.23"
"2017-08-14 01:08:00","0.894687","0.972","0.9797","0.7914","0.8043","26449307.52"
"2017-08-15 01:08:00","0.900534","0.917","0.995","0.75","0.972","52452063.41"
"2017-08-16 01:08:00","0.96204","1.04","1.05","0.8633","0.917","27930190.55"
"2017-08-17 01:08:00","1.057961","1.01","1.1","0.99","1.04","33921131.2"
"2017-08-18 01:08:00","0.900861","0.867","1.04","0.7611","1.01","39474941.58"
"2017-08-19 01:08:00","0.880543","0.9791","0.9859","0.77","0.867","22746400.58"
"2017-08-20 01:08:00","0.983179","0.9101","1.03","0.91","0.9791","18151967.21"
"2017-08-21 01:08:00","0.887222","0.9001","0.9408","0.84","0.9101","17235787.98"
"2017-08-22 01:08:00","0.839112","0.838","0.9046","0.7778","0.9001","15961001.46"
"2017-08-23 01:08:00","0.880933","0.851","0.9408","0.8303","0.838","15372233.07"
"2017-08-24 01:08:00","0.843158","0.89","0.8949","0.7959","0.851","8478289.04"
"2017-08-25 01:08:00","0.883408","0.9164","0.9349","0.835","0.891","11436765.65"
"2017-08-26 01:08:00","0.925076","0.96","0.9749","0.875","0.9164","9399472.89"
"2017-08-27 01:08:00","0.920648","0.9193","0.9801","0.88","0.96","8671763.44"
"2017-08-28 01:08:00","0.859116","0.8744","0.929","0.78","0.9194","11772010.85"
"2017-08-29 01:08:00","0.804674","0.8125","0.875","0.7053","0.8744","15007894.58"
"2017-08-30 01:08:00","0.843726","0.8675","0.8765","0.7838","0.8125","9937742.85"
"2017-08-31 01:08:00","0.867189","0.8415","0.9","0.82","0.8675","9170131.8"
"2017-09-01 01:09:00","0.832841","0.7927","0.88","0.771","0.8415","16395351.93"
"2017-09-02 01:09:00","0.702217","0.6921","0.7999","0.64","0.7927","24754845.75"
"2017-09-03 01:09:00","0.726686","0.7417","0.777","0.666","0.6921","19943217.78"
"2017-09-04 01:09:00","0.563027","0.5484","0.7442","0.3633","0.7417","54618042.4"
"2017-09-05 01:09:00","0.564746","0.6132","0.6499","0.455","0.5484","28222355.85"
"2017-09-06 01:09:00","0.677063","0.7394","0.7488","0.592","0.6132","19935928.92"
"2017-09-07 01:09:00","0.672669","0.6479","0.74","0.6141","0.7394","20523394.74"
"2017-09-08 01:09:00","0.548741","0.5373","0.66","0.4786","0.6479","33374603.24"
"2017-09-09 01:09:00","0.553169","0.5594","0.584","0.5183","0.5373","10289183.11"
